LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/ms),(micron/ms),(micron),(ms),(micron),(micron),(micron),
ID2065 → ID5430,100,2065,5430,0.36894485043550546,0.004953858792957955,0.3075584024786645,2.460467219829316,508.0,362.73877108973124,47.426392816193754,0.0,
ID5488 → ID5542,100,5488,5542,0.5627629356207309,0.032347301532370525,0.44224289951025786,3.537943196082063,532.0,354.6460179994575,49.38179700615551,0.0,
ID7163 → ID9279,100,7163,9279,0.1921843892025179,0.025581283756129808,0.16632311378268474,1.330584910261478,900.0,302.54093370129567,46.785824307440464,0.0,
ID8244 → ID6045,100,8244,6045,0.041107350366698145,0.007768070715412498,0.09721572892622193,0.7777258314097755,596.0,349.56089410614504,46.128439797973066,0.0,
ID3132 → ID3625,100,3132,3625,0.0014508735699143376,2.8948373574962577E-4,0.234239082365518,1.873912658924144,484.0,368.71174913864644,47.48619764458523,0.0,
ID8586 → ID7991,100,8586,7991,2.8710136455254798,0.24617577019637873,0.04171963252081814,0.3337570601665451,1036.0,263.3180368917257,53.25274566519943,0.0,
ID5987 → ID6653,100,5987,6653,0.16783926533908275,0.04609881796917898,0.10985002919881068,0.8788002335904854,636.0,346.5686030703986,46.26512384625441,0.0,
ID9182 → ID7987,100,9182,7987,8.040584469419574,0.04862938391429657,0.06644838594691783,0.5315870875753427,980.0,273.3546819300073,49.47990246788555,0.0,
ID6206 → ID5877,100,6206,5877,0.022780749569796182,0.006298295514054973,0.15786566987691167,1.2629253590152933,676.0,340.98265038710394,46.26201331596782,0.0,
ID3470 → ID2989,100,3470,2989,0.27944140293599856,0.048757021698678626,0.16301258886614559,1.3041007109291647,428.0,381.4688730376256,47.49365498592279,0.0,
ID7817 → ID7659,100,7817,7659,0.042944405541332914,0.006934719943204768,0.1556186098244144,1.2449488785953151,876.0,306.96941184404534,46.45894887791536,0.0,
ID3547 → ID4597,100,3547,4597,4.336555111906057,0.06383686967478674,0.4087866093036753,3.270292874429402,452.0,375.9602996183378,47.768013899825775,0.0,
ID8363 → ID6071,100,8363,6071,1.4575082947905644,0.011653968224491518,0.14464050534533007,1.1571240427626406,548.0,350.72402026949305,49.505971185053625,0.0,
